Znumber,smiles,vina_score,unidock_score_detail
Z1889837352,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,10.0,-118.44
Z2185279095,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,10.0,35.884
Z1541759909,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,-9.742,-9.261
Z2588038907,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,-7.91,-8.068
Z3207130668,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,-7.697,-7.741
Z1515385076,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,10.0,-81.491
Z2044782386,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],-5.58,-5.409
Z2301684749,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,-9.247,-6.74
Z2312950560,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,-8.64,-8.222
Z104476418,OCc1ccccc1,-4.767,-4.865
Z57183224,O=c1[nH]c2cc(Cl)ccc2o1,-5.776,-5.847
Z1255415481,C[N+](C)(C)CCOC(N)=O,-3.885,-3.808
Z2050038784,C[C@H](N)[C@H](O)c1cccc(O)c1,-5.703,-5.759
Z1198150037,CN1CCC[C@H]1c1cccnc1,-5.623,-5.577
Z223042524,NS(=O)(=O)Cc1noc2ccccc12,-6.419,-6.386
Z1255488813,Cc1ccc(-c2ccc(C)cn2)nc1,-7.422,-7.452
Z1617901127,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,-7.208,-7.313
Z90121066,CC(C)NCC(O)COc1cccc2ccccc12,-7.395,-7.11
Z1546616194,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,-6.558,-6.162
Z1515385077,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,-7.424,-7.412
Z608353988,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,-7.964,-7.295
Z1537384907,Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,-10.078,-9.098
Z56768517,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-8.28,-7.338
Z56785257,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,-8.304,-6.997
Z2242164637,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,10.0,-2.436
Z608353996,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O,-8.341,-7.662
Z195110238,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,-7.228,-7.921
Z2183947556,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,-5.623,-5.119
Z1511483977,C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-7.16,-6.872
Z2756516761,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,-12.376,-37.703
Z2791720087,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,-9.008,-9.047
Z2235811339,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,-8.233,-7.513
Z1544404032,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,-8.504,-7.288
Z1501485368,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,-9.011,-8.393
Z104474028,COc1ccccc1O,-4.828,-4.832
Z756440050,CSCC[C@H](N)C(=O)O,-3.862,-3.83
Z103710848,C#CCN(C)Cc1ccccc1,-5.564,-5.542
Z1255435426,CC[C@@H](C(N)=O)N1CCCC1=O,-5.168,-5.137
Z57727844,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,-6.376,-6.366
Z1201620684,Cn1nnc2c(C(N)=O)ncn2c1=O,-5.685,-5.692
Z1255415511,COc1ccccc1OCC(O)CO,-5.515,-5.458
Z56828371,Cc1cccc(C)c1NC1=NCCCS1,-6.565,-6.715
Z1741981540,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,-5.237,-5.136
Z1416254508,CC(C)NCC(O)c1ccc(O)c(O)c1,-6.376,-6.389
Z955123630,CC(C)NCC(O)c1cc(O)cc(O)c1,-6.448,-6.599
Z1541632803,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,-5.992,-5.965
Z1546610483,CC(c1cc2ccccc2s1)N(O)C(N)=O,-7.239,-7.2
Z104472374,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-7.155,-7.22
Z1521554005,NC(=O)OCC(COC(N)=O)c1ccccc1,-6.242,-6.571
Z138288808,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,-7.776,-7.844
Z1266873958,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,-8.05,-7.988
Z2037281108,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,-7.777,-7.629
Z1557494602,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,-6.822,-6.619
Z1172207721,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],-8.081,-7.898
Z1741977993,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,-8.051,-7.093
Z1718280150,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,-8.341,-7.762
Z1511495258,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,-7.299,-7.145
Z1521553846,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-8.338,-8.274
Z1521553721,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-8.831,-8.91
Z2583205878,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,-6.638,-6.283
Z2146566713,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,-9.712,-9.229
Z2680630178,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-7.379,-7.559
Z2953646389,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,-9.31,-7.841
Z1954806063,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,-8.109,-8.095
Z1521553843,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,-9.388,-9.353
Z1741978506,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,-7.256,-7.069
Z2185283535,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,-7.105,-4.685
Z2756516943,CCCCOc1ccc(OCCCN2CCOCC2)cc1,-6.47,-6.389
Z68590124,NC(=O)c1ccccc1O,-5.258,-5.263
Z104500108,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,-8.256,-8.05
Z754931262,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,-9.279,-8.441
Z2588039022,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-9.248,-8.828
Z2587996953,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,10.0,3.744
Z2756516872,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,-6.346,-6.351
Z1546616207,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.0,-6.176
Z2587996506,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,-10.202,-9.011
Z2235811595,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,-13.085,-59.551
Z2235802256,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,10.0,10.992
Z2235802230,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,-7.716,-7.313
Z3247611631,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,10.0,285.259
Z3313642143,CCOC(=O)[C@@H](C)C[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,-8.616,-7.68
Z57127446,Nc1ccc(C(=O)O)cc1,-5.312,-5.305
Z600425176,CC(=O)OCC[N+](C)(C)C,-3.954,-3.973
Z56347226,C=CCc1ccc(O)c(OC)c1,-5.808,-5.85
Z1255415487,c1ccc(CC2=NCCN2)cc1,-6.142,-6.026
Z2289798095,O=C(O)CC(O)(CC(=O)O)C(=O)O,-4.988,-5.104
Z104484866,Nc1ccc(C(=O)NCC(=O)O)cc1,-6.306,-6.298
Z1269171738,CN(C)C(=O)Oc1ccc[n+](C)c1,-5.116,-5.156
Z57931197,CN(C)c1nc(N(C)C)nc(N(C)C)n1,-5.406,-5.374
Z57152562,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,-6.456,-6.468
Z104477706,CCN(CC)CCNC(=O)c1ccc(N)cc1,-6.357,-6.305
Z608061562,Brc1c(NC2=NCCN2)ccc2nccnc12,-6.945,-6.979
Z1521553984,COc1ccccc1OCC(O)COC(N)=O,-6.118,-6.029
Z228668542,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,-8.133,-8.108
Z2106607416,CNCCCN1c2ccccc2CCc2ccccc21,-12.72,-205.01
Z1546610479,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,-8.742,-8.018
Z1137167677,CN1C(=C(O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,-9.637,-9.611
Z1501485351,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-9.52,-9.234
Z60744762,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,-8.91,-9.039
Z2235801948,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,10.0,-3.841
Z56791187,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,-6.704,-6.448
Z1589255958,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-6.443,-6.587
Z277540138,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-8.81,-7.371
Z2216894329,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,-11.228,-9.001
Z90121065,Nc1ccc(C(=O)O)c(O)c1,-5.657,-5.661
Z2242151306,CCCCCCCCCCCCCCCC(=O)NCCO,-5.713,-5.861
Z2242164525,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,-9.054,-8.761
Z1255427181,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-5.058,-5.063
Z2417819627,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-8.255,-7.598
Z2242067488,N[C@@H]1C[C@H]1c1ccccc1,-5.66,-5.447
Z2271075295,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,-9.413,-8.206
Z3243811539,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-7.728,-7.048
Z2587996962,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-9.603,-7.771
Z2315575190,CC(C)=CCC/C(C)=C/CO,-5.511,-5.506
Z2417817741,Cn1sc(Cl)cc1=O,-4.173,-4.183
Z57127439,NCCCCCC(=O)O,-4.291,-4.093
Z362014242,C1N2CN3CN1CN(C2)C3,-3.797,-3.826
Z1143441555,CC(=O)N[C@@H](CS)C(=O)O,-4.057,-4.159
Z1255431202,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,-3.838,-3.936
Z87001124,Cc1ncc([N+](=O)[O-])n1CCO,-4.718,-4.875
Z234895119,O=C(O)CCCc1ccccc1,-5.691,-5.667
Z104507896,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-5.687,-5.69
Z276508890,CS(=O)(=O)OCCCCOS(C)(=O)=O,-4.611,-4.565
Z104478412,Oc1ccc(OCc2ccccc2)cc1,-7.104,-7.164
Z756440056,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,-6.734,-6.81
Z104476858,O=C(O)Cc1ccc(-c2ccccc2)cc1,-7.63,-7.596
Z1954802504,CCCCCCCCCCCCCC(=O)O,-5.413,-5.477
Z53835984,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,-6.543,-6.565
Z754931256,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,-7.87,-7.51
Z56761710,C[n+]1ccc(C(=O)NCc2ccccc2)cc1,-7.269,-7.393
Z1521553991,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-6.482,-6.731
Z2429420872,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,-8.256,-8.124
Z2588038976,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,-5.842,-5.474
Z1521553705,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,-6.357,-5.644
Z667611948,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,-7.207,-6.749
Z2033589790,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-10.795,-8.894
Z1537048897,CC(C)Cc1ccc(C(C)C(=O)NCCO)cc1,-6.959,-6.964
Z89277543,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,-9.067,-8.251
Z1550648753,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,-6.845,-6.788
Z1544404500,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,-10.284,-9.678
Z1532717445,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,-8.827,-8.299
Z2242062189,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-7.87,-7.163
Z1546616193,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,-6.927,-6.906
Z1255434759,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,-5.426,-5.411
Z2216887959,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,-9.195,-8.444
Z1590790198,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-9.84,-9.087
Z2588039015,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,-7.664,-7.692
Z2681892608,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,-6.625,-6.45
Z2235802251,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,-6.976,-6.694
Z756390288,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-8.218,-7.957
Z1515376765,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-8.18,-7.216
Z2568664267,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,-7.833,-7.59
Z3219503092,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-9.603,-5.726
Z104473900,NC(N)=O,-2.578,-2.565
Z248489432,NCCS(=O)(=O)O,-3.282,-3.639
Z275128052,O=c1[nH]cc(F)c(=O)[nH]1,-4.93,-4.926
Z57127464,Cc1ccc(C(C)C)c(O)c1,-6.076,-5.977
Z336079954,NCC1(CC(=O)O)CCCCC1,-5.389,-5.467
Z2685925293,CNC1(C)C2CCC(C2)C1(C)C,-5.44,-5.452
Z104483432,Oc1c(I)cc(Cl)c2cccnc12,-6.851,-6.84
Z756440064,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-6.015,-6.015
Z1198150288,Nc1cc(-c2ccncc2)c[nH]c1=O,-6.644,-6.637
Z1197943321,CCCCCCc1ccc(O)cc1O,-6.314,-6.294
Z1269145231,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,-4.899,-4.432
Z1486001934,CC[C@@H](CO)NCCN[C@@H](CC)CO,-5.169,-4.517
Z56791867,CCN(CC)c1cc(C)nc2ncnn12,-6.406,-6.181
Z1556051334,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,-7.072,-6.99
Z1235945951,CCOc1ccccc1OCC1CNCCO1,-6.674,-6.448
Z274728816,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,-6.628,-6.171
Z227834786,CNCCC=C1c2ccccc2CCc2ccccc21,-13.339,-25.399
Z995240796,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,-14.855,-3.786
Z1546610475,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,-9.345,-9.234
Z1551900864,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-7.875,-7.16
Z2196311163,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,-7.543,-7.543
Z32409934,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,-6.985,-6.74
Z3245419176,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-8.608,-7.918
Z2937147473,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-10.136,-9.054
Z2037280227,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,-9.093,-8.503
Z68563450,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,-8.064,-7.913
Z1551900491,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,-7.828,-6.965
Z1515385088,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,-7.022,-6.99
Z754918912,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-9.867,-8.715
Z2216898922,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,-6.601,-6.624
Z2315574782,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,-6.536,-6.681
Z2681891492,O=C1c2c(O)cccc2Cc2cccc(O)c21,-8.693,-8.675
Z2681892428,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,-7.721,-8.243
Z1501485370,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,-7.78,-6.779
Z3041519356,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,-7.541,-7.292
Z2756516923,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,10.0,-4.409
Z2312380776,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,-9.573,-9.576
Z2238899645,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,10.0,-5.565
Z1837762189,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,-7.089,-6.975
Z2568665233,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,-7.57,-7.17
Z33546463,NC(=O)c1cccnc1,-4.636,-4.638
Z1741972992,NCC(=O)CCC(=O)O,-4.315,-4.241
Z2681891170,CC(S)C(=O)NCC(=O)O,-4.199,-4.101
Z1741970429,NC[C@H]1CC[C@H](C(=O)O)CC1,-5.574,-5.584
Z1255381648,NC(=O)c1nc(F)cnc1O,-4.999,-4.942
Z1269228108,O=C(O)CCCC[C@@H]1CCSS1,-4.824,-4.906
Z57127532,O=C(O)CCCCCCCC(=O)O,-4.916,-4.79
Z203045076,N=C(Nc1ccccc1)Nc1ccccc1,-7.473,-7.532
Z372953774,c1coc(CNc2ncnc3nc[nH]c23)c1,-6.546,-6.483
Z754918916,COc1c2occc2cc2ccc(=O)oc12,-7.13,-7.117
Z56821717,c1ccc2sc(SN3CCOCC3)nc2c1,-6.768,-6.82
Z2044793215,Cc1cc(C(=O)NNCc2ccccc2)no1,-7.196,-6.886
Z2050011174,CC[N+](C)(C)Cc1ccccc1Br,-5.526,-5.693
Z104472626,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-7.316,-7.491
Z594284186,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,-6.97,-6.795
Z55682028,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl,-6.89,-6.884
Z57473348,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,-8.182,-8.272
Z212055564,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,-8.591,-8.145
Z57257314,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,-8.77,-8.548
Z1544404495,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,-8.329,-8.125
Z667612124,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,-7.036,-7.039
Z1541638525,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,-9.834,-8.555
Z1557400300,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,-13.493,-93.787
Z600425184,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-9.675,-8.27
Z1258938406,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-10.255,-9.056
Z19674820,COC(=O)c1ccc(O)cc1,-5.38,-5.385
