pdb_id,karma_score,karma_score_ff,karma_score_aligned
Z204342356,34.86152648925781,31.293136596679688,31.591529846191406
Z650926574,39.79759216308594,35.830955505371094,30.146270751953125
Z433767378,25.725666046142578,22.89504623413086,22.873876571655273
Z86212654,28.56853675842285,25.216796875,24.07294464111328
Z364980030,34.19001007080078,29.50890350341797,28.827085494995117
Z955208208,37.85138702392578,38.559234619140625,32.30290603637695
Z340444884,24.43145751953125,21.811979293823242,23.408588409423828
Z118701238,26.191659927368164,27.629072189331055,24.709810256958008
Z28522952,32.89775085449219,32.74039077758789,28.60761260986328
Z76794059,35.73680114746094,29.48680877685547,33.04261779785156
Z28468306,26.838134765625,26.365833282470703,25.87567901611328
Z218238558,30.82019805908203,28.42916488647461,24.201444625854492
Z229235170,43.39427947998047,40.323429107666016,37.57488250732422
Z21573690,33.95919418334961,28.69768714904785,26.873132705688477
Z411696750,24.835487365722656,24.429750442504883,25.815650939941406
Z392524588,43.49184036254883,41.65846252441406,38.674659729003906
Z48853050,28.002857208251953,29.305898666381836,24.49959373474121
Z1270081962,40.432498931884766,40.22450637817383,36.81269836425781
Z119820616,31.522863388061523,29.815692901611328,22.831722259521484
Z359435986,26.975257873535156,27.012561798095703,25.79709815979004
Z953859348,39.80451583862305,37.482261657714844,39.23361587524414
Z275104392,44.60472869873047,41.65280532836914,33.50192642211914
Z46077242,29.910478591918945,27.481891632080078,27.799102783203125
Z298333424,38.52985763549805,38.794158935546875,40.016117095947266
Z254387106,24.281282424926758,26.469003677368164,24.459102630615234
Z28799615,29.882648468017578,27.888599395751953,28.438831329345703
Z30346213,27.355064392089844,25.842435836791992,24.921096801757812
Z16254213,39.87947082519531,31.766904830932617,33.11637496948242
Z15865035,26.675445556640625,26.568622589111328,26.972185134887695
Z226257158,34.637142181396484,31.8393611907959,27.70221519470215
Z16403278,31.47857666015625,28.993419647216797,23.223438262939453
Z234860216,42.175846099853516,41.466270446777344,41.970054626464844
Z32811942,30.625795364379883,24.887981414794922,28.672574996948242
Z1251687771,25.743511199951172,25.576147079467773,24.683197021484375
Z51890102,21.30034065246582,23.424203872680664,21.463987350463867
Z204342424,39.961063385009766,34.197967529296875,20.566116333007812
Z641940000,32.576812744140625,29.56521987915039,29.983583450317383
Z56870429,41.64811706542969,42.94801712036133,32.465213775634766
Z227999944,39.71071243286133,36.50404357910156,40.935672760009766
Z1004409340,27.967212677001953,26.739625930786133,24.149436950683594
Z433748528,30.61429214477539,26.063335418701172,26.48565101623535
Z245503032,34.19054412841797,33.41188430786133,31.280303955078125
Z56795653,48.11127471923828,46.432945251464844,42.882774353027344
Z18647134,37.39009094238281,34.47486877441406,32.05216979980469
Z234863664,49.00697708129883,43.70005416870117,38.329036712646484
Z228032620,34.550167083740234,32.24123764038086,31.716472625732422
Z383786992,29.48652458190918,24.537986755371094,19.209447860717773
Z52652133,32.312503814697266,29.02249526977539,24.635662078857422
Z25181441,30.92229652404785,31.35022735595703,24.994747161865234
Z56874404,34.66440963745117,31.796531677246094,30.432802200317383
Z328656306,30.69033432006836,30.706707000732422,28.36355209350586
Z29076765,32.631343841552734,30.950519561767578,26.378189086914062
Z1101562534,30.018022537231445,29.37476348876953,28.8306884765625
Z56830808,37.30482482910156,33.99839782714844,34.537139892578125
Z164951688,25.10837745666504,20.898977279663086,19.94888687133789
Z30166588,29.781475067138672,27.47982406616211,22.28213882446289
Z1171354817,28.115127563476562,21.621103286743164,26.035245895385742
Z423127042,36.19503402709961,32.627891540527344,29.1613826751709
Z252933976,33.32251739501953,29.54586410522461,28.201597213745117
Z908095506,33.09737014770508,31.14734649658203,32.34657669067383
Z434610754,30.32151985168457,28.6171875,29.5167293548584
Z968524204,34.301639556884766,30.564254760742188,32.51732635498047
Z296244664,37.94863510131836,35.27788162231445,39.32419967651367
Z18416283,31.48298454284668,28.498241424560547,27.318166732788086
Z54635359,37.81878662109375,34.477779388427734,33.23196792602539
Z751330278,31.96364974975586,30.214107513427734,27.727907180786133
Z109075772,30.096790313720703,28.48609161376953,24.3198299407959
Z30903878,44.426753997802734,44.8057861328125,45.6729850769043
Z297331992,33.71965408325195,34.80489730834961,34.336387634277344
Z816593716,24.06802749633789,23.783666610717773,25.223121643066406
Z113852318,29.1977481842041,26.29677391052246,25.38032341003418
Z1203241726,29.190799713134766,28.608051300048828,33.83953857421875
Z1070147916,38.41059875488281,32.42808151245117,32.482666015625
Z952597190,31.70903205871582,29.70728302001953,29.282596588134766
Z432289626,26.34554672241211,26.272048950195312,27.065031051635742
Z44484403,42.714759826660156,38.542877197265625,38.36730194091797
Z18519758,27.395824432373047,26.74756622314453,21.228506088256836
Z357857984,33.507503509521484,33.00232696533203,29.131681442260742
Z56863397,22.441871643066406,22.89940643310547,22.263343811035156
Z434141156,34.69207763671875,32.39228820800781,34.45732879638672
Z317663344,30.133045196533203,29.79608917236328,27.780048370361328
Z99468124,35.5600471496582,36.18063735961914,33.51967239379883
Z96018682,25.898509979248047,25.628894805908203,21.26771354675293
Z354514576,19.495304107666016,20.751672744750977,16.43177032470703
Z104351370,23.493877410888672,21.44226837158203,20.447298049926758
Z108907460,33.98910140991211,32.47248840332031,26.788982391357422
Z108929782,31.953893661499023,29.967208862304688,29.071216583251953
Z26332916,33.08437728881836,28.33645248413086,21.78935432434082
Z145811978,28.413164138793945,26.633047103881836,22.16950798034668
Z70996149,27.070737838745117,28.07227325439453,23.03461265563965
Z154098858,35.0433349609375,36.65005874633789,30.245338439941406
Z128023350,37.92607879638672,36.40364456176758,37.63540267944336
Z424802904,31.790191650390625,23.844398498535156,25.326366424560547
Z139671368,40.57749938964844,34.611610412597656,35.3936653137207
Z166819076,32.2682991027832,33.72815704345703,32.74877166748047
Z244011694,22.913978576660156,19.89966583251953,22.147207260131836
Z18650720,28.533288955688477,24.810550689697266,22.379554748535156
Z283846026,45.983848571777344,42.19252014160156,41.64021301269531
Z56793398,45.4174919128418,46.64276885986328,38.10357666015625
Z369933958,31.97675895690918,33.13600540161133,32.098201751708984
Z73973253,32.20298767089844,31.33354377746582,21.584444046020508
Z368201138,35.188236236572266,33.64765548706055,30.56875228881836
Z24578166,36.56517028808594,35.150367736816406,24.260313034057617
Z737550454,28.1464900970459,24.690656661987305,25.6402530670166
Z485637938,24.41985321044922,22.879600524902344,20.36020278930664
Z1148512928,29.465744018554688,28.645700454711914,23.405282974243164
Z79434439,27.217445373535156,25.376380920410156,22.90523910522461
Z62702954,22.517885208129883,18.580080032348633,16.469112396240234
Z16254229,34.043174743652344,31.086162567138672,30.139671325683594
Z18421040,30.767820358276367,26.306427001953125,27.08065414428711
Z70956310,23.157026290893555,20.481290817260742,23.204456329345703
Z109323132,43.59799575805664,43.33340835571289,37.448368072509766
Z821190250,27.469310760498047,23.39094352722168,24.990571975708008
Z1022056870,26.75906753540039,23.001413345336914,22.494117736816406
Z62746884,34.15595626831055,33.36408233642578,28.282773971557617
Z19513253,33.00420379638672,35.017494201660156,30.771425247192383
Z433536698,31.430994033813477,26.31902503967285,26.498340606689453
Z374047122,21.97705078125,22.246036529541016,20.772497177124023
Z118811128,28.72150421142578,26.845958709716797,27.19727325439453
Z169847702,31.925140380859375,29.510568618774414,31.89451026916504
Z167631076,33.791019439697266,32.941650390625,24.515295028686523
Z31124080,47.05255126953125,47.66189193725586,44.95718765258789
Z134853188,28.86495590209961,26.72934913635254,26.700061798095703
Z826713980,27.235050201416016,24.032785415649414,27.258377075195312
Z16158532,32.7740592956543,31.0748291015625,27.619478225708008
Z193999678,49.402748107910156,47.97896957397461,40.96763610839844
Z56898031,34.010311126708984,31.024202346801758,28.39533233642578
Z240711628,30.876590728759766,29.459514617919922,28.429428100585938
Z116345678,42.521263122558594,37.38518524169922,41.1397705078125
Z1067269008,29.35036277770996,28.15614128112793,23.93185043334961
Z29956667,34.78879165649414,33.068485260009766,29.505979537963867
Z51737757,32.2061653137207,25.35881805419922,24.477487564086914
Z25766910,25.159883499145508,24.304420471191406,21.037757873535156
Z1000171966,32.21751022338867,29.618030548095703,28.137630462646484
Z52652203,28.98331069946289,27.064010620117188,24.779876708984375
