Znumber,rank_id,confidence,center_distance,file,mol_pred_loaded,sanitization,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,all_pass
Z1038829842,1,0.56,1.724139121537275,results_ipab/Z1038829842/rank1_confidence-0.56.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,2,0.59,1.7619926222226097,results_ipab/Z1038829842/rank2_confidence-0.59.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,3,0.6,1.763868433053806,results_ipab/Z1038829842/rank3_confidence-0.60.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,4,0.64,0.5541014027015283,results_ipab/Z1038829842/rank4_confidence-0.64.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,5,0.64,0.8903676160300434,results_ipab/Z1038829842/rank5_confidence-0.64.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,6,0.68,1.8493158917321504,results_ipab/Z1038829842/rank6_confidence-0.68.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,7,0.69,0.6255632069317338,results_ipab/Z1038829842/rank7_confidence-0.69.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,8,0.69,1.6178233116886522,results_ipab/Z1038829842/rank8_confidence-0.69.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,9,0.7,1.6450411817690054,results_ipab/Z1038829842/rank9_confidence-0.70.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,10,3.21,43.88830896403364,results_ipab/Z1039455578/rank10_confidence-3.21.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,1,0.37,2.754144980098946,results_ipab/Z1039455578/rank1_confidence-0.37.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,2,0.57,2.41697696044521,results_ipab/Z1039455578/rank2_confidence-0.57.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,3,0.57,2.5097061433478727,results_ipab/Z1039455578/rank3_confidence-0.57.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,4,0.64,2.495869504231285,results_ipab/Z1039455578/rank4_confidence-0.64.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,5,0.65,2.49112283496385,results_ipab/Z1039455578/rank5_confidence-0.65.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,6,0.68,2.367772035610397,results_ipab/Z1039455578/rank6_confidence-0.68.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,7,0.77,3.6338970597156783,results_ipab/Z1039455578/rank7_confidence-0.77.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,8,0.85,2.4618907241773416,results_ipab/Z1039455578/rank8_confidence-0.85.sdf,1,1,1,1,1,1,1,1,1,1
Z1039455578,9,0.88,2.953460679424659,results_ipab/Z1039455578/rank9_confidence-0.88.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,10,3.84,5.176764264898708,results_ipab/Z104351370/rank10_confidence-3.84.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,1,0.52,2.8270173562854306,results_ipab/Z104351370/rank1_confidence-0.52.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,2,1.18,1.1210577328912747,results_ipab/Z104351370/rank2_confidence-1.18.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,3,1.26,3.170037043092597,results_ipab/Z104351370/rank3_confidence-1.26.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,4,1.63,2.2364755768271696,results_ipab/Z104351370/rank4_confidence-1.63.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,5,1.75,2.859778965415125,results_ipab/Z104351370/rank5_confidence-1.75.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,6,1.81,5.276556742219833,results_ipab/Z104351370/rank6_confidence-1.81.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,7,1.83,5.027526469722473,results_ipab/Z104351370/rank7_confidence-1.83.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,8,2.11,6.055710117106903,results_ipab/Z104351370/rank8_confidence-2.11.sdf,1,1,1,1,1,1,1,1,1,1
Z104351370,9,2.8,4.264738801019475,results_ipab/Z104351370/rank9_confidence-2.80.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,10,0.1,0.5258931144715603,results_ipab/Z105489474/rank10_confidence-0.10.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,1,0.2,1.0030906196564493,results_ipab/Z105489474/rank1_confidence0.20.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,2,0.2,0.3916592476039822,results_ipab/Z105489474/rank2_confidence0.20.sdf,1,1,1,1,1,1,1,1,0,0
Z105489474,3,0.19,1.06905932537189,results_ipab/Z105489474/rank3_confidence0.19.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,4,0.18,1.0097906010734885,results_ipab/Z105489474/rank4_confidence0.18.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,5,0.15,0.9661924855821008,results_ipab/Z105489474/rank5_confidence0.15.sdf,1,1,1,1,1,1,1,1,1,1
